BSE,MCAP (in Rs. cr),Sales (in Rs. cr),Net Profit (in Rs. cr),EPS (in Rs.),URL
FRANKLIN,24.9,12.98,0.21,0.13,https://www.screener.in/company/539839/
FSSPL,1.92,14.63,2.02,1.51,https://www.screener.in/company/540945/
GANGAPHARM,5.66,2.32,0.04,0.10,https://www.screener.in/company/539680/
GARGI,176.0,0.01,0.00,0.00,https://www.screener.in/company/543709/
GCMCAPI,16.9,4.23,0.09,0.05,https://www.screener.in/company/538319/
GCMCOMM,3.48,0.26,-0.09,-0.12,https://www.screener.in/company/535917/
GCSL,92.6,4.13,1.52,1.49,https://www.screener.in/company/543324/
GEL,24.0,248,1,2.14,https://www.screener.in/company/540613/
GENSOL,NaN,154,11,10.08,https://www.screener.in/company/542851/
GETALONG,12.8,30.66,1.12,6.13,https://www.screener.in/company/543372/
GFIL,8.23,0.04,-0.68,-2.26,https://www.screener.in/company/541703/
GHUSHINE,3.49,0.90,0.00,0.00,https://www.screener.in/company/539864/
GLEAM,1.81,4.09,-0.01,-0.01,https://www.screener.in/company/542477/
GLHRL,50.4,32.82,3.57,5.10,https://www.screener.in/company/543520/
GMPL,201.0,73.87,4.19,3.10,https://www.screener.in/company/543239/
GOBLIN,93.9,12.76,-1.60,-1.53,https://www.screener.in/company/542850/
GOEL,57.0,6.96,0.00,0.00,https://www.screener.in/company/543538/
GOKULSOL (ITP),NaN,0.00,0.05,0.05,https://www.screener.in/company/780012/
GROWINGTON,81.4,0.80,0.08,0.14,https://www.screener.in/company/539222/
GUJHYSPIN,18.7,49.77,0.11,0.07,https://www.screener.in/company/540938/
HANMAN,2.52,0.55,-1.82,-1.73,https://www.screener.in/company/538731/
HASJUICE (ITP),NaN,2.87,-0.03,-0.06,https://www.screener.in/company/780014/
HBEL,13.8,0.50,-0.37,-6.04,https://www.screener.in/company/542592/
HEALTHYLIFE,15.2,26.16,0.76,0.76,https://www.screener.in/company/543546/
HPCBL,418.0,2.29,1.17,0.07,https://www.screener.in/company/535217/
ICLORGANIC,33.6,3.51,0.07,0.12,https://www.screener.in/company/542935/
IGRL,6.66,17.98,-0.09,-0.07,https://www.screener.in/company/540152/
INA,290.0,163,7,27.60,https://www.screener.in/company/543620/
INDOUS,234.0,49.38,5.24,5.72,https://www.screener.in/company/541304/
INFLAME,345.0,39.57,-1.65,-2.48,https://www.screener.in/company/541083/
INNOVATIVE,4.72,4.59,-4.94,-4.34,https://www.screener.in/company/541983/
INNOVATORS,182.0,65.87,0.79,0.42,https://www.screener.in/company/541353/
JAISUKH DEAL (ITP),NaN,0.12,-0.15,-0.11,https://www.screener.in/company/780001/
JANUSCORP,6.12,24.07,0.23,0.17,https://www.screener.in/company/542924/
JAYANT,129.0,35.18,1.39,6.37,https://www.screener.in/company/543544/
JDML,11.5,406,0,0.39,https://www.screener.in/company/540394/
JETINFRA,15.9,0.36,0.04,0.19,https://www.screener.in/company/538794/
JETMALL,11.7,3.01,0.01,0.02,https://www.screener.in/company/543286/
JFL,6.72,27.98,-18.57,-18.10,https://www.screener.in/company/540850/
JIGAR,17.6,11.10,0.33,0.47,https://www.screener.in/company/540651/
JIGYASA (ITP),NaN,0.00,0.02,0.02,https://www.screener.in/company/780019/
JINAAM,5.28,149.50,7.83,5.19,https://www.screener.in/company/542653/
JOINTECAED,13.5,0.04,-1.14,-1.14,https://www.screener.in/company/534659/
JONJUA,8.13,3.14,1.05,1.57,https://www.screener.in/company/542446/
JSHL,2.62,0.46,0.06,0.09,https://www.screener.in/company/538765/
KAARYAFSL,10.7,17.51,0.16,0.17,https://www.screener.in/company/540756/
KCSL,3.05,4.18,0.22,0.43,https://www.screener.in/company/537784/
KDML,142.0,61.24,10.98,4.78,https://www.screener.in/company/539788/
KESAR,53.7,1.16,0.01,3.85,https://www.screener.in/company/543542/
KMEW,NaN,49,19,19.03,https://www.screener.in/company/543273/
KMSL,5.66,0.51,-0.29,-0.41,https://www.screener.in/company/540812/
KMSMEDI,23.0,10.32,0.22,0.67,https://www.screener.in/company/540468/
LAL,69.0,24.44,0.54,0.53,https://www.screener.in/company/540952/
LAXMIPATI,20.7,27.99,0.23,0.40,https://www.screener.in/company/537669/
LEX,16.8,4.49,0.56,1.34,https://www.screener.in/company/541196/
MAAGHADV,8.15,9.61,0.34,1.93,https://www.screener.in/company/543624/
MACH,10.5,3.27,-2.34,-7.80,https://www.screener.in/company/541973/
MAFIA,8.82,3.66,0.27,4.32,https://www.screener.in/company/543613/
MAHIP,6.6,21,-8,-4.23,https://www.screener.in/company/542503/
MANAS,154.0,0,1,1.35,https://www.screener.in/company/540402/
MARKOLINES,322.0,187,10,4.57,https://www.screener.in/company/543364/
MASL,2.25,5,-19,-20.61,https://www.screener.in/company/534563/
MCL (ITP),NaN,0.00,0.01,0.01,https://www.screener.in/company/780009/
MHEL,19.5,32.86,-4.81,-12.32,https://www.screener.in/company/540150/
MILEFUR,8.03,0.00,-1.53,-1.65,https://www.screener.in/company/541337/
MISQUITA,10.9,8.53,0.42,1.56,https://www.screener.in/company/542801/
MMLF,14.6,2.16,0.42,0.42,https://www.screener.in/company/535910/
MODIS,262.0,21.94,1.40,,https://www.screener.in/company/543539/
MRP,34.6,30.28,0.34,1.14,https://www.screener.in/company/543262/
MRSS,4.5,21,-6,-5.88,https://www.screener.in/company/539229/
NATURO,13.0,7.01,0.75,28.86,https://www.screener.in/company/543579/
NAVIGANT,9.03,5.53,1.12,3.55,https://www.screener.in/company/539521/
NAVODAYENT,4.74,45.55,0.44,0.57,https://www.screener.in/company/543305/
NAYSAA,96.7,11.15,0.41,0.38,https://www.screener.in/company/538668/
NEL,0.62,6.25,-0.15,-0.25,https://www.screener.in/company/540698/
NEWEVER,5.17,59.39,0.05,0.02,https://www.screener.in/company/536644/
NINSYS,259.0,19.81,2.77,2.69,https://www.screener.in/company/539843/
NOVATEOR,11.1,0.19,0.01,0.02,https://www.screener.in/company/542771/
NSL,287.0,152,3,1.85,https://www.screener.in/company/542628/
NVENTURES,6.38,18.74,0.01,0.08,https://www.screener.in/company/543522/
OCTAWARE,18.0,6.98,0.02,0.06,https://www.screener.in/company/540416/
OLATECH,19.2,2.53,0.35,2.13,https://www.screener.in/company/543578/
OMNIPOTENT,9.44,97.44,-0.85,-1.40,https://www.screener.in/company/543400/
OPCHAINS,8.91,0.96,0.08,0.12,https://www.screener.in/company/539116/
PACE,60.8,1.70,0.07,0.04,https://www.screener.in/company/543637/
PBFL,0.98,0.00,0.26,0.18,https://www.screener.in/company/539352/
PECOS,12.6,3.15,-0.12,-0.92,https://www.screener.in/company/539273/
PGCRL,46.6,3.76,0.07,0.40,https://www.screener.in/company/543540/
PJL,109.0,106,6,14.48,https://www.screener.in/company/539401/
POBS,41.1,23.75,2.27,14.35,https://www.screener.in/company/543352/
POLYMAC,15.9,6.14,0.11,0.23,https://www.screener.in/company/537573/
PREVEST,413.0,38,12,9.64,https://www.screener.in/company/543363/
PRIMEFRESH,274.0,75.55,3.19,2.70,https://www.screener.in/company/540404/
PROMAX,22.1,39.58,0.20,0.33,https://www.screener.in/company/543375/
PYXISFIN,18.4,1.84,1.67,1.45,https://www.screener.in/company/534109/
QRIL,12.6,0.97,0.15,0.78,https://www.screener.in/company/543460/
RACE,332.0,157,1,0.56,https://www.screener.in/company/537785/
RAFL,442.0,5.47,3.84,3.22,https://www.screener.in/company/538921/
RANJEET,10.6,28.56,0.09,0.14,https://www.screener.in/company/541945/
RCAN,66.1,25.15,0.38,0.72,https://www.screener.in/company/543285/
REETECH,27.5,18,0,7.91,https://www.screener.in/company/543617/
RELICAB,77.4,33.60,0.22,0.22,https://www.screener.in/company/539760/
RELSTRUCT,4.69,1.23,0.05,0.03,https://www.screener.in/company/540426/
REXSEAL,32.0,17.03,0.37,11.56,https://www.screener.in/company/543744/
RHETAN,892.0,52.09,0.13,1.14,https://www.screener.in/company/543590/
RIDINGS,9.74,2.08,0.02,0.02,https://www.screener.in/company/541151/
RITHWIKFMS,19.3,21.52,0.86,2.81,https://www.screener.in/company/540843/
RJBIOTECH,6.77,12.65,-15.68,-16.56,https://www.screener.in/company/536456/
RMC,149.0,41.56,0.58,0.95,https://www.screener.in/company/540358/
RONI,32.6,10.75,-1.26,-2.42,https://www.screener.in/company/542145/
ROOPSHRI,13.3,0.40,-0.16,-0.33,https://www.screener.in/company/542599/
RSTL,37.3,302,2,2.99,https://www.screener.in/company/540082/
RUBY,3.44,86,0,0.65,https://www.screener.in/company/539836/
SAGAR,75.6,6257,29,23.00,https://www.screener.in/company/540715/
SAILANI,17.8,10.05,0.16,1.05,https://www.screener.in/company/543541/
SAMOR,39.2,17.32,0.11,0.10,https://www.screener.in/company/543376/
SANASATECH (ITP),NaN,11.33,0.11,,https://www.screener.in/company/780015/
SBGLP,382.0,13,6,3.47,https://www.screener.in/company/543218/
SBLI,6.58,0.00,0.05,0.62,https://www.screener.in/company/543366/
SBRANDS,29.2,3.99,-1.06,-1.02,https://www.screener.in/company/540782/
SCARNOSE,17.8,32.55,0.23,5.48,https://www.screener.in/company/543537/
SDC,7.03,4.61,-1.40,-2.16,https://www.screener.in/company/535647/
SECMARK,76.7,14.54,2.66,2.56,https://www.screener.in/company/543234/
SEML,105.0,64.27,4.89,13.51,https://www.screener.in/company/543515/
SFSL,8.56,1.38,0.11,0.72,https://www.screener.in/company/543519/
SGFRL,123.0,8.05,-6.94,-2.79,https://www.screener.in/company/543391/
SHANTIGURU,6.34,0.00,0.24,0.19,https://www.screener.in/company/534708/
SHINEFASH,13.7,12.08,0.39,1.39,https://www.screener.in/company/543244/
SHIVAEXPO,12.6,9.01,0.11,0.08,https://www.screener.in/company/540072/
SHREESHAY,88.9,12.68,0.71,0.54,https://www.screener.in/company/541112/
SIDDH,17.1,0.11,-3.31,-2.85,https://www.screener.in/company/540736/
SILVERPRL,5.5,0.45,0.12,0.42,https://www.screener.in/company/543536/
SIROHIA,8.88,0.00,0.00,0.00,https://www.screener.in/company/538667/
SISL,14.4,4.15,0.09,180.00,https://www.screener.in/company/543598/
SKIEL,8.8,4.06,-1.55,-2.11,https://www.screener.in/company/542728/
SKIFL,11.7,0.84,0.01,0.03,https://www.screener.in/company/542146/
SKL,12.4,45.71,-1.44,-1.16,https://www.screener.in/company/540269/
SMAUTO,57.0,54.33,3.64,2.55,https://www.screener.in/company/543065/
SMEL,43.2,0.65,0.01,0.02,https://www.screener.in/company/541799/
SPICY,6.7,32.57,-0.28,-0.17,https://www.screener.in/company/540084/
SPITZE,138.0,27.97,2.99,3.96,https://www.screener.in/company/543464/
SPRAYKING,14.0,18.60,0.62,1.95,https://www.screener.in/company/540079/
SRGSFL,9.68,2.10,0.39,0.73,https://www.screener.in/company/536710/
SRL,4.85,13.32,-0.37,-0.37,https://www.screener.in/company/535466/
SRSOLTD,151.0,13.75,2.70,2700.00,https://www.screener.in/company/543615/
SSPNFIN,2.9,0.37,0.06,0.16,https://www.screener.in/company/539026/
SSTL,15.2,127,0,0.19,https://www.screener.in/company/543461/
STELLAR,9.98,3.40,0.31,0.12,https://www.screener.in/company/536738/
STML,163.0,89,1,2.77,https://www.screener.in/company/543622/
SUBHTEX,17.3,1,-0,-0.11,https://www.screener.in/company/536671/
SUICH,6.6,135,5,4.12,https://www.screener.in/company/542683/
SUNRETAIL,9.15,2.00,-0.08,-0.01,https://www.screener.in/company/542025/
SUPERNOVA (ITP),NaN,95.66,0.26,0.25,https://www.screener.in/company/780008/
SUPERSHAKT,461.0,634,18,15.37,https://www.screener.in/company/541701/
SUUMAYA,29.9,1187,51,20.53,https://www.screener.in/company/543274/
SVPHOUSING,47.2,23.10,-0.38,-0.34,https://www.screener.in/company/539041/
SVRL,221.0,612,14,12.72,https://www.screener.in/company/543373/
SVS,29.0,13.55,0.27,270.00,https://www.screener.in/company/543745/
SYSCO,2.23,157,6,7.13,https://www.screener.in/company/539842/
TANVI,56.8,79.55,1.07,1.99,https://www.screener.in/company/540332/
TARINI,6.99,1.49,0.20,0.15,https://www.screener.in/company/538496/
TECHNOPACK,57.2,5.78,0.02,0.20,https://www.screener.in/company/543656/
TENTIMETAL,1.84,37.37,0.28,0.52,https://www.screener.in/company/537119/
TIMESGREEN,10.4,16.45,0.16,1.60,https://www.screener.in/company/543310/
TITAANIUM,11.6,156,1,1.22,https://www.screener.in/company/539985/
TLL,161.0,9.62,0.63,1.26,https://www.screener.in/company/543616/
TRIVIKRAMA,8.19,-0.00,-0.23,-0.32,https://www.screener.in/company/538579/
TRL,63.2,0.41,-1.81,-1.84,https://www.screener.in/company/541228/
UHZAVERI,33.6,6.90,0.14,0.14,https://www.screener.in/company/541338/
UNISHIRE,5.31,1.61,-4.28,-1.76,https://www.screener.in/company/537582/
VANTABIO,41.9,9.82,0.47,0.74,https://www.screener.in/company/540729/
VEDANTASSET,17.4,1.01,0.09,4.47,https://www.screener.in/company/543623/
VEERKRUPA,86.8,4.63,0.01,0.05,https://www.screener.in/company/543545/
VGIL,119.0,12.94,0.27,0.37,https://www.screener.in/company/543241/
VIDLIPP,NaN,Sales +,Net Profit,EPS in Rs,https://www.screener.in/company/890163/
VOEPL,355.0,115,2,12.50,https://www.screener.in/company/543597/
VRFILMS,56.7,13.93,1.85,13.48,https://www.screener.in/company/542654/
WAA,54.1,23.27,4.94,3.72,https://www.screener.in/company/541445/
WAAREE,170.0,13.13,0.19,0.18,https://www.screener.in/company/539337/
WEBSL (ITP),NaN,1.07,0.15,0.22,https://www.screener.in/company/780016/
WOMENSNEXT,0.52,51.75,0.90,3.60,https://www.screener.in/company/538128/
YUG,47.0,24.29,0.10,0.16,https://www.screener.in/company/540550/
