NSE,MCAP (in Rs. cr),Last Available Sales (in Rs. cr),Last Available Net Profit (in Rs. cr),Last Available EPS (in Rs.),URL
PULZ,58.7,5.73,-0.33,-0.61,https://www.screener.in/company/PULZ/
QMSMEDI,336.0,122,11,29.02,https://www.screener.in/company/QMSMEDI/
QUADPRO,28.3,9.68,0.97,0.19,https://www.screener.in/company/QUADPRO/
RMDRIP,12.9,18.21,0.11,0.16,https://www.screener.in/company/RMDRIP/
RILINFRA,NaN,103.79,4.70,8.94,https://www.screener.in/company/RILINFRA/
RELIABLE,55.9,27.93,1.45,1.41,https://www.screener.in/company/RELIABLE/
REXPIPES,36.1,102,2,2.22,https://www.screener.in/company/REXPIPES/
RICHA,25.5,20.11,0.73,730.00,https://www.screener.in/company/RICHA/
RITEZONE,34.1,3.80,0.01,10.00,https://www.screener.in/company/RITEZONE/
SSINFRA,9.28,15.12,0.63,0.44,https://www.screener.in/company/SSINFRA/
SKP,334.0,9.65,3.64,2.43,https://www.screener.in/company/SKP/
SMVD,15.8,86.02,1.05,1.05,https://www.screener.in/company/SMVD/
SPRL,15.8,31.51,0.98,5.48,https://www.screener.in/company/SPRL/
SABAR,25.6,73.92,1.40,1.27,https://www.screener.in/company/SABAR/
SECL,299.0,2.28,2.81,2.73,https://www.screener.in/company/SECL/
SHIGAN,157.0,242,10,5.73,https://www.screener.in/company/SHIGAN/
TIRUPATI,143.0,198,7,6.91,https://www.screener.in/company/TIRUPATI/
SVLL,151.0,66.16,3.25,2.83,https://www.screener.in/company/SVLL/
OSWALSEEDS,409.0,103,4,2.70,https://www.screener.in/company/OSWALSEEDS/
SRIRAM,6.81,4,-17,-16.81,https://www.screener.in/company/SRIRAM/
SHUBHLAXMI,37.0,61.49,0.78,0.94,https://www.screener.in/company/SHUBHLAXMI/
SIDDHIKA,66.4,20.35,1.61,5.21,https://www.screener.in/company/SIDDHIKA/
SIGMA,234.0,10.78,1.22,1.18,https://www.screener.in/company/SIGMA/
SOLEX,267.0,72.24,0.99,1.24,https://www.screener.in/company/SOLEX/
SONAHISONA,42.1,76.98,0.09,0.05,https://www.screener.in/company/SONAHISONA/
SONUINFRA,28.3,53.18,1.75,3.21,https://www.screener.in/company/SONUINFRA/
SURANI,35.8,137,2,2.23,https://www.screener.in/company/SURANI/
SWARAJ,34.2,128.83,4.57,6.35,https://www.screener.in/company/SWARAJ/
SWASTIK,223.0,518,1,16.19,https://www.screener.in/company/SWASTIK/
TAPIFRUIT,37.2,13.04,0.10,4.00,https://www.screener.in/company/TAPIFRUIT/
TARACHAND,98.2,128,2,1.74,https://www.screener.in/company/TARACHAND/
